,postDateTime,headline,summary,url,tags
213,2023-11-22 08:00:00+00:00,AWS IoT SiteWise supports ingestion of buffered and batched measurement data,"<p>Today, we are announcing the launch of a new feature in AWS IoT SiteWise that allows cost-efficient and scalable ingestion of time-series data needed for analytical use cases. Until now, customers have used AWS IoT SiteWise streaming ingestion APIs to ingest telemetry data for real-time use cases within milliseconds. With this new feature, customers can now buffer time-series data streams at the edge before ingesting to the cloud. This lowers ingestion cost for data needed in the cloud within minutes instead of milliseconds. For example, data needed for machine learning applications and BI analytics dashboards that only need to be updated every 15 minutes. The combination of the two ingestion mechanisms allows customers to configure efficient ingestion pipelines for data needed for real-time and analytical applications.</p>
",https://aws.amazon.com//about-aws/whats-new/2023/11/aws-iot-sitewise-buffered-batched-measurement-data/,"['aws-iot-sitewise', 'Launch Announcement', '2023', 'aws-govcloud-us', 'internet-of-things']"
214,2023-11-22 08:00:00+00:00,"AWS IoT SiteWise announces Query API for metadata, and telemetry data retrieval","<p>We are announcing the launch of data retrieval query API (<a href=""https://docs.aws.amazon.com/iot-sitewise/latest/APIReference/API_ExecuteQuery.html"" target=""_blank"" rel=""noopener"">ExecuteQuery</a>) to allow customers to access asset metadata and telemetry data for both operational and analytical use cases. With the new ExecuteQuery API customers can retrieve metadata and time-series data from asset models, assets, measurements, metrics, transforms, and aggregates using SQL-like query statements in a single API request.</p>
",https://aws.amazon.com//about-aws/whats-new/2023/11/aws-iot-sitewise-query-api-metadata-telemetry-retrieval/,"['aws-iot-sitewise', 'Launch Announcement', 'aws-govcloud-us', '2023', 'internet-of-things']"
215,2023-11-22 08:00:00+00:00,Amazon EMR Studio is now available in 4 new AWS Regions,"<p><a href=""/content/aws.amazon.com/live/en_US/emr.html"" target=""_blank"" rel=""noopener"">Amazon EMR</a> is excited to announce that <a href=""/content/aws.amazon.com/live/en_US/emr/features/studio.html"" target=""_blank"" rel=""noopener"">Amazon EMR Studio</a> is&nbsp;now available in the Africa (Cape Town), Asia Pacific (Jakarta, Osaka), and Europe (Milan).</p>
",https://aws.amazon.com//about-aws/whats-new/2023/11/amazon-emr-studio-4-new-regions/,"['emr-studio', 'Launch Announcement', 'analytics', '2023']"
216,2023-11-21 13:00:00+00:00,AWS announces Amazon DocumentDB I/O-Optimized,"<p>Today, we are announcing the general availability of <a href=""/content/aws.amazon.com/live/en_US/documentdb.html"" target=""_blank"" rel=""noopener"">Amazon DocumentDB</a> (with MongoDB compatibility) I/O-Optimized, a new storage configuration for database clusters that provides improved price performance and predictable pricing for customers with I/O-intensive applications. Amazon DocumentDB I/O-Optimized offers improved performance, increasing write throughput and reducing latency for customers’ most demanding workloads. With Amazon DocumentDB I/O-Optimized, there are zero charges for read and write I/O operations—you only pay for your database instances and storage usage, making it easy to predict your database spend up front. Amazon DocumentDB I/O-Optimized offers up to 40% cost savings for I/O-intensive applications where I/O charges exceed 25% of the total Amazon DocumentDB database spend.</p>
",https://aws.amazon.com//about-aws/whats-new/2023/11/amazon-documentdb-i-o-optimized/,"['amazon-documentdb', 'storage', '2023', 'aws-govcloud-us', 'Launch Announcement', 'databases']"
217,2023-11-21 13:00:00+00:00,AWS Security and MSSP Specializations now included in AWS Marketplace Vendor Insights,"<p>AWS Marketplace sellers with a Security Specialization or a Level 1 Managed Security Service Provider (MSSP) Specialization can now add these Specializations to their Vendor Insights security profiles. These are in addition to already available certifications for SOC 2 Type 2, ISO 27001, FedRAMP, PCI DSS, HIPAA, and GDPR compliance. AWS Marketplace Vendor Insights helps streamline the complex third-party software risk assessment process by enabling sellers to make security and compliance information available to buyers through AWS Marketplace.&nbsp;<br>
</p>
",https://aws.amazon.com//about-aws/whats-new/2023/11/aws-security-mssp-specializations-marketplace-vendor-insights/,"['2023', 'aws-marketplace', 'aws-marketplace-and-partners', 'Launch Announcement']"
218,2023-11-21 13:00:00+00:00,Amazon Verified Permissions now provides an enhanced visual mode for schema editing,"<p>Amazon Verified Permissions now provides customers with a new visual schema editor, in addition to the existing JSON editor, in the Verified Permissions console. Customers can now visualize the relationships between the entities used to model principals, resources and actions.</p>
",https://aws.amazon.com//about-aws/whats-new/2023/11/amazon-verified-permissions-enhanced-visual-mode-schema-editing/,"['security-identity-and-compliance', 'Launch Announcement', '2023']"
219,2023-11-21 13:00:00+00:00,"Amazon CloudFront announces CloudFront KeyValueStore, a globally managed key value datastore","<p>Amazon CloudFront announces general availability of CloudFront KeyValueStore, a global, low-latency, key value datastore. KeyValueStore allows you to retrieve key value data from within CloudFront Functions making functions more customizable by allowing independent data updates. The key value data is available across all CloudFront edge locations and provides a highly efficient, in-memory, key-value store with fast reads from within CloudFront Functions. With KeyValueStore you can now implement lookup use cases such as feature flags, A/B testing, and storing environment variables with low latency.<br>
</p>
",https://aws.amazon.com//about-aws/whats-new/2023/11/amazon-cloudfront-keyvaluestore-globally-managed-key-value-datastore/,"['networking', '2023', 'amazon-cloudfront', 'Launch Announcement']"
220,2023-11-21 13:00:00+00:00,Amazon QuickSight supports SPICE capacity auto-purchase,"<p><a href=""/content/aws.amazon.com/live/en_US/quicksight.html"" target=""_blank"" rel=""noopener"">Amazon QuickSight</a> is excited to announce the launch of SPICE capacity auto-purchase feature, offering an improved solution for the automatic management of SPICE capacity. Previously, customers had to manually purchase SPICE capacity, and insufficient capacity could lead to data ingestion failures, hindering the intended use of QuickSight. Now, customers can effortlessly opt in to the capacity auto-purchase with just one click. This new SPICE auto-purchase capability eliminates the need for customers to estimate usage and manually purchase SPICE capacity each time. Instead, they can seamlessly ingest data and use SPICE worry free, as QuickSight will automatically acquire the necessary capacity to meet their usage requirements. For further details, visit <a href=""https://docs.aws.amazon.com/quicksight/latest/user/managing-spice-capacity.html"" target=""_blank"" rel=""noopener"">here</a>.</p>
",https://aws.amazon.com//about-aws/whats-new/2023/11/amazon-quicksight-spice-capacity-auto-purchase/,"['analytics', 'aws-govcloud-us', 'amazon-quicksight', 'Launch Announcement', '2023']"
221,2023-11-21 13:00:00+00:00,AWS Lake Formation data filters now support permissions on nested data,"<p>AWS Lake Formation now allows customers to apply permissions on subfields of their nested tables using data filters. Permissions can be granted on more granular fields such as on particular columns inside of structs. Permissions on nested fields provide customers more fine grained permissions to better match their business needs with greater flexibility to how they structure their data.</p>
",https://aws.amazon.com//about-aws/whats-new/2023/11/aws-lake-formation-data-filters-permissions-nested-data/,"['aws-lake-formation', 'analytics', 'aws-govcloud-us', 'Launch Announcement', '2023']"
222,2023-11-21 08:00:00+00:00,Amazon DocumentDB now supports no-code machine learning with Amazon SageMaker Canvas,"<p><a href=""/content/aws.amazon.com/live/en_US/documentdb.html"" target=""_blank"" rel=""noopener"">Amazon DocumentDB (with MongoDB compatibility)</a> now integrates with <a href=""/content/aws.amazon.com/live/en_US/sagemaker/canvas.html"" target=""_blank"" rel=""noopener"">Amazon SageMaker Canvas</a> to enable no-code Machine learning (ML) with data stored in Amazon DocumentDB. Customers can now build ML models for regression and forecasting needs and use foundation models for content summarization and generation using data stored in Amazon DocumentDB without writing a single line of code.  The new integration removes the undifferentiated heavy lifting when customers connect and access data in Amazon DocumentDB and accelerates ML development with a no-code experience.</p>
",https://aws.amazon.com//about-aws/whats-new/2023/11/amazon-documentdb-no-code-learning-sagemaker-canvas/,"['artificial-intelligence', 'amazon-sagemaker-canvas', 'amazon-machine-learning', 'databases', 'amazon-documentdb', '2023', 'Launch Announcement']"
